kodifikasi,nama,lokasi,kotamadya,kecamatan,kelurahan,luas,jenis
21070042,JH Juanda III, Jl Juanda III , Jakarta Pusat , Gambir , -   ,42, Jalur Hijau Jalan 
21070030,JH Duri Pulo RW 07, Jl Duri Pulo , Jakarta Pusat , Gambir , -   ,380, Jalur Hijau Jalan 
21070017,JH Cipunegara, Jl Cipunegara , Jakarta Pusat , Gambir , -   ,32, Jalur Hijau Jalan 
21070006,JH Batu, JL Batu , Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
21070104,JH Tanah Abang IV, Jl Tanah Abang IV , Jakarta Pusat , Gambir , -   ,345, Jalur Hijau Jalan 
21070092,JH Sangau, Jl Sangau , Jakarta Pusat , Gambir , -   ,106, Jalur Hijau Jalan 
21070067,JH Pejambon I, Jl Pejambon I , Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
21070051,JH Kesehatan IV, Jl Kesehatan IV , Jakarta Pusat , Gambir , -   ,1200, Jalur Hijau Jalan 
21070079,JH Petojo Enclek IX, Jl Petojo Enclek IX , Jakarta Pusat , Gambir , -   ,12, Jalur Hijau Jalan 
21070040,JH Juand IC, Jl Juanda IC , Jakarta Pusat , Gambir , -   ,56, Jalur Hijau Jalan 
21070028,JH Duri B, Jl Duri B , Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
21070003,JH Alaydrus, JL Alaydrus , Jakarta Pusat , Gambir , -   ,10, Jalur Hijau Jalan 
21070015,JH Budi Kemuliaan I, Jl Budi Kemuliaan I , Jakarta Pusat , Gambir , -   ,450, Jalur Hijau Jalan 
21070115,JH Zainal Arifin, Jl Zainal Arifin , Jakarta Pusat , Gambir , -   ,1484, Jalur Hijau Jalan 
21070102,JH Tanah Abang II, Jl Tanah Abang II , Jakarta Pusat , Gambir , -   ,4784, Jalur Hijau Jalan 
21070089,JH Petojo Utara VI B, Jl Petojo Utara VI B , Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
21070065,JH Pejambon ( Kiri jalan ), Jl Pejambon , Jakarta Pusat , Gambir , -   ,28, Jalur Hijau Jalan 
21070077,JH Petojo Binatu Raya, Jl Petojo Binatu Raya , Jakarta Pusat , Gambir , -   ,156, Jalur Hijau Jalan 
21070049,JH Kesehatan II, Jl Kesehatan II , Jakarta Pusat , Gambir , -   ,300, Jalur Hijau Jalan 
21070038,JH Juanda I, Jl Juanda I , Jakarta Pusat , Gambir , -   ,24, Jalur Hijau Jalan 
21070026,JH Duri A I, Jl Duri A I , Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
21070001,JH Sangaji, Jl. Sangaji , Jakarta Pusat , Gambir , -   ,5098, Jalur Hijau Jalan 
21070013,JH Brantas, Jl Brantas , Jakarta Pusat , Gambir , -   ,194, Jalur Hijau Jalan 
21070113,JH Veteran III, Jl. Veteran III , Jakarta Pusat , Gambir , -   ,280, Jalur Hijau Jalan 
21070100,JH Suryo Pranoto, Jl Suryo Pranoto , Jakarta Pusat , Gambir , -   ,6666, Jalur Hijau Jalan 
21070087,JH Petojo Selatan VII, Jl Petojo Selatan VII , Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
21070063,JH Obira, Jl Obira , Jakarta Pusat , Gambir , -   ,22, Jalur Hijau Jalan 
21070075,JH Petojo Barat (Pemadam), Jl Petojo Barat (Pemadam) , Jakarta Pusat , Gambir , -   ,200, Jalur Hijau Jalan 
21070047,JH Kedutaan Amerika (Samping), Jl Medan Merdeka Selatan , Jakarta Pusat , Gambir , -   ,2750, Jalur Hijau Jalan 
21070036,JH Jati Baru, Jl Jati Baru , Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
21070023,JH Ciujung, Jl Ciujung , Jakarta Pusat , Gambir , -   ,336, Jalur Hijau Jalan 
21070011,JH Belawan, Jl Belawan , Jakarta Pusat , Gambir , -   ,400, Jalur Hijau Jalan 
21070111,JH Veteran I, Jl Veteran I , Jakarta Pusat , Gambir , -   ,800, Jalur Hijau Jalan 
21070098,JH Sukajadi, Jl Sukajadi , Jakarta Pusat , Gambir , -   ,34, Jalur Hijau Jalan 
21070056,JH Majapahit, Jl. Majapahit , Jakarta Pusat , Gambir , -   ,746, Jalur Hijau Jalan 
21070085,JH Petojo Selatan I, Jl Petojo Selatan I , Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
21070073,JH Perwira, Jl Perwira , Jakarta Pusat , Gambir , -   ,635, Jalur Hijau Jalan 
21070045,JH Kebon Jahe, Jl Kebon Jahe Kober , Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
21070034,JH Hasyim Ashari, Jl. Hasyim Ashari , Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
21070021,JH Cilamaya, Jl Cilamaya , Jakarta Pusat , Gambir , -   ,3435, Jalur Hijau Jalan 
