provinsi,wilayah,kecamatan,kelurahan,kode_kantor,nama_kantor,jenis,alamat
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Setiabudi,Karet,12920D1,LE Bank Bali,LE,Gd. Bank Permata
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Setiabudi,Karet,12920D2,LE Lippo Plaza,LE,Jl. Jend. Sudirman
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Setiabudi,Karet Semanggi,12930A,Jakarta Selatan Central Plaza,KPCDK,Jl. Jendral  Sudirman No. 47
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Setiabudi,Karet Semanggi,12930D1,LE Atmajaya,LE,Jl. Jend. Sudirman
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Setiabudi,Karet Kuningan,12940D1,LE Ambasador,LE,Gd. Ambasador Mall
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Setiabudi,Kuningan Timur,12950A,Jakarta Selatan Centre Point,KPCDK,Jl. Gatot Subroto Kav. 35 - 36
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Setiabudi,Kuningan Timur,12950B,Jakarta Selatan Astek,KPCDK,Jl. Gatot Subroto No. 79
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Setiabudi,Kuningan Timur,12950D1,LE Patrajasa,LE,Gd. Patra
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Setiabudi,Kuningan Timur,12950D2,LE Menaradea,LE,Gd. Menara
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Setiabudi,Guntur,12980A,Jakarta Selatan Guntur,KPCDK,Jl. Guntur No. 10
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Pulo Gadung,Jati,13000,Jakarta Timur,KPRK,Jl. Pemuda No. 79
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Matraman,Pisangan Baru,13110A,Jakarta Timur Pisangan Baru,KPCDK,Jl. Raya Pisangan Baru Tengah No. 14
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Matraman,Utan Kayu Utara,13120A,Jakarta Timur Utan Kayu,KPCDK,Jl. Waringin No. 8
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Matraman,Kayumanis,13130A,Jakarta Timur Kayu Manis,KPCDK,Jl. Kayu Manis XI/79
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Matraman,Palmeriam,13140A,Jakarta Timur Matraman,KPCDK,Jl. Gudeg No. 24
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Pulo Gadung,Kayu Putih,13210A,Jakarta Timur Kayu Putih,KPCDK,Jl. Plitur Raya No. 29
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Pulo Gadung,Kayu Putih,13210B,Jakarta Timur Universitas Jayabaya,KPCDK,Univ Jayabaya
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Pulo Gadung,Jati,13220A,Jakarta Timur Jati Rawamangun,KPCDK,Jl. Pilo Asem Utara XII
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Pulo Gadung,Rawamangun,13220B,Jakarta Timur Rawamangun,KPCDK,Jl. Mustika Jaya X
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Pulo Gadung,Pulo Gadung,13260A,Jakarta Timur Pulo Gadung,KPCDK,Jl. Taruna Kayumas
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Jatinegara,Balimester,13300,Jakarta Timur Jatinegara,KPCDK,Jl. Matraman Raya No. 222
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Jatinegara,Kampung Melayu,13320A,Jakarta Timur Kampung Melayu,KPCDK,Jl. Jatinegara Barat
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Jatinegara,Cipinang Cempedak,13340A,Jakarta Timur Cipinang Cempedak,KPCDK,Jl. Raya Gg. Langgar
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Jatinegara,Cipinang Besar Sltn,13410A,Jakarta Timur Cipinang Besar Selatan,KPCDK,Jl. Cipinang Besar Selatan Raya
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Jatinegara,Cipinang Muara,13420A,Jakarta Timur Cipinang Muara,KPCDK,Jl. I Gusti Ngurahrai No. 22
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Duren Sawit,Pondok Bambu,13430A,Jakarta Timur Pondok Bambu,KPCDK,Jl. Pahlawan Revolusi Blok Q II/3
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Duren Sawit,Duren Sawit,13440A,Jakarta Timur Duren Sawit,KPCDK,Jl. Kelurahan No. 1/40 C
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Duren Sawit,Pondok Kelapa,13450D1,LE Pondok Kelapa,LE,Jl. H. Dogon No. 1/32
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Duren Sawit,Malaka,13460A,Jakarta Timur Malaka,KPCDK,Jl. Nusa Indah
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Duren Sawit,Pondok Kopi,13460B,Jakarta Timur Pondok Kopi,KPCDK,Jl. Robusta Raya
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Duren Sawit,Klender,13470A,Jakarta Timur Klender,KPCDK,Jl. Tanah No. 80
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Kramat Jati,Kramat Jati,13510A,Jakarta Timur Kramat Jati,KPCDK,Jl. Kelapa Gading
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Kramat Jati,Batu Ampar,13520A,Jakarta Timur Batu Ampar,KPCDK,Jl. Batu Ampar Raya
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Kramat Jati,Kampung Dukuh,13550A,Jakarta Timur Kampung Dukuh,KPCDK,Jl. Dukuh
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Makasar,Pinang Ranti,13560A,Jakarta Timur Taman Mini,KPCDK,Taman Mini Indah Indonesia
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Makasar,Pinang Ranti,13560B,Jakarta Timur Pinang Ranti,KPCDK,Jl. Raya Pondok Gede No. 3
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Makasar,Makasar,13570A,Jakarta Timur Makasar,KPCDK,Jl. Masjid Al Munir
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Makasar,Halim Perdana  Kusuma,13610A,Jakarta Timur Halim,KPCDK,Jl. Skuadron
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Makasar,Halim Perdana  Kusuma,13610B,Jakarta Timur Halim Airport,KPCDK,Jl. Skuadron
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Makasar,Cipinang Melayu,13620A,Jakarta Timur Cipinang Melayu,KPCDK,Komplek AU
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Kramat Jati,Cawang,13630A,Jakarta Timur Cawang,KPCDK,Jl. Mesjid Bendungan
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Kramat Jati,Cililitan,13640D1,LE PGC,LE,Mall PGC Lt. 2 No. 638
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Pasar Rebo,Pekayon,13710A,Jakarta Timur Pekayon,KPCDK,Jl. Raya Bogor KM. 27
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Ciracas,Cibubur,13720A,Jakarta Timur Cibubur,KPCDK,Jl. Lapangan Tembak
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Ciracas,Cibubur,13720D1,LE Cibubur Junction,LE,Mall Cibubur Junction Lt. 3
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Ciracas,Ciracas,13740A,Jakarta Timur Ciracas,KPCDK,Jl. Raya Ciracas No. 52
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Pasar Rebo,Gedong,13760A,Jakarta Timur Gedong,KPCDK,Komplek Kopasus
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Pasar Rebo,Kalisari,13790D1,LE Kalisari,LE,Jl. Raya Kalisari No. 41 A RT006/RW002
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Cipayung,Lubang Buaya,13810A,Jakarta Timur Lubang Buaya,KPCDK,Jl. Masjid Albado No. 1
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Cipayung,Cilangkap,13870A,Jakarta Timur Mabes TNI,KPCDK,Mabes TNI
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Cakung,Cakung Barat,13910A,Jakarta Timur Cakung,KPCDK,Jl. Raya Tipar Cakung
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Cakung,Penggilingan,13940A,Jakarta Timur Penggilingan,KPCDK,Jl. Raya Penggilingan
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Cakung,Pulo Gebang,13950A,Jakarta Timur Pulogebang,KPCDK,Jl. Pulo Gebang
Daerah Khusus Ibukota Jakarta,Jakarta Timur,Cakung,Pulo Gadung,13950D1,LE Walikota,LE,Jl. Sentra Primer Baru Timur
Daerah Khusus Ibukota Jakarta,Jakarta Utara,Tanjung Priok,Kebon Bawang,14000,Jakarta Utara,KPRK,Jl. Swasembada Timur XI No. 37
Daerah Khusus Ibukota Jakarta,Jakarta Utara,Cilincing,Cilincing,14120A,Jakarta Utara Cilincing,KPCDK,Jl. Raya Sungai Landak No. 25
Daerah Khusus Ibukota Jakarta,Jakarta Utara,Cilincing,Semper Timur,14130A,Jakarta Utara Semper,KPCDK,Jl. Kebantenan I
Daerah Khusus Ibukota Jakarta,Jakarta Utara,Cilincing,Sukapura,14140D1,LE Sukapura,LE,
Daerah Khusus Ibukota Jakarta,Jakarta Utara,Cilincing,Rorotan,14140D2,LE Rorotan,LE,Jl. Malaka IV No. 74
Daerah Khusus Ibukota Jakarta,Jakarta Utara,Cilincing,Kalibaru,14140D3,LE Kalibaru,LE,Jl. Kalibaru Timur II
Daerah Khusus Ibukota Jakarta,Jakarta Utara,Cilincing,Marunda,14150D1,LE Marunda,LE,Jl. Marunda Baru No. 5
Daerah Khusus Ibukota Jakarta,Jakarta Utara,Koja,Koja Utara,14210A,Jakarta Utara Koja Utara,KPCDK,Jl. Cipucang II No. 53
Daerah Khusus Ibukota Jakarta,Jakarta Utara,Koja,Rawa Badak,14230A,Jakarta Utara Rawa Badak,KPCDK,Jl. Alur Laut
Daerah Khusus Ibukota Jakarta,Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,14240A,Jakarta Utara Kelapa Gading Barat,KPCDK,Jl. Tambah I No. 5
Daerah Khusus Ibukota Jakarta,Jakarta Utara,Kelapa Gading,Kelapa Gading Timur,14240D1,LE Kelapa Gading Timur,LE,Jl. Kelapa Kopyor Timur III Blok BH2 No. 2
Daerah Khusus Ibukota Jakarta,Jakarta Utara,Kelapa Gading,Kelapa Gading Timur,14240D2,LE Kelapa Lilin,LE,Jl. Bangun Cipta Sarana No. 16
Daerah Khusus Ibukota Jakarta,Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,14240D3,LE Lottemart,LE,Lotte Mart Kelapa Gading Blok 9F No. 15
Daerah Khusus Ibukota Jakarta,Jakarta Utara,Kelapa Gading,Pegangsaan Dua,14250A,Jakarta Utara Pegangsaan Dua,KPCDK,Jl. Perintis Kemerdekaan No. 39
